#,What is your Artist name? ,Have you heard of botted playlists and fake streams before? ,Are you aware of how botted playlists and fake streams can affect your career?,Were you aware that several agencies use botted playlists and pay for fake streams for their artists?,Did you know that when you use botted playlists or fake streams you are at risk of having your music removed from Spotify?,Do you know about algorithmic playlists such as 'Discover Weekly' and 'Release Radar'?,Did you know that Liberty Music PR does not work with botted / fake playlists?,Did you know that Liberty Music PR only uses organic playlists and is a trusted agency when it comes to playlisting services? ,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
8ynxjbygz9owup8yf28msy9s515vtf28,Thaïs Sala,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-17 11:44:09,,2024-06-17 11:44:49,a2af9bd514,,
jqnvoeshoigblmsnq127jqnvoes36dzy,OCZ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-16 19:12:22,,2024-06-16 19:13:29,4761306f69,,
zqu1klx1ns7wpz0fgbzqus58201rxe27,Smoothwaffle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-14 23:16:46,,2024-06-14 23:17:15,63d2677682,,
g81vrfflmbwsgwii9g74g81vrrujvhbh,Logan Taylor,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2024-06-14 22:40:18,,2024-06-14 22:44:28,5dd531293c,,
mlneodubee1tdfd63rmlneon41qvzcmt,STARLA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-14 18:45:55,,2024-06-14 18:46:38,1acf8b05ae,,
3tp29n57fxwgsp03tp29ns5wgqowerc1,Tim Palm,No,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-14 14:38:06,,2024-06-14 14:38:44,8d60a2469a,,
2s002y77r8dwi7f9yc2s0zg1dplzwi4n,Corinne Caza,Yes,No,No,No,Yes,Yes,Yes,completed,2024-06-14 13:22:52,,2024-06-14 13:23:35,8dd827936d,,
y7o2k9kyn1nn5jty7o2kyitxfkrdnsrf,Noraay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-14 11:33:29,,2024-06-14 11:34:00,bc42e8c1b2,,
4mc0ffufe206kitnjdf34mc0fftsmkpq,Ryan Rhythms,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-13 13:42:50,,2024-06-13 13:44:00,bc7143ea78,,
sf1ucqejlxylgbf5mdsf1ucqo9zj5baf,Mik Ivy,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2024-06-12 21:27:11,,2024-06-12 21:27:54,74a0b6a778,,
h1pot0w0maelril3h1pvxe53psr21onw,The Redtones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-12 13:34:08,,2024-06-12 13:34:24,9184bc3978,,
d4hshl3boc5pr7gt2pbd4hxmc2yty27c,The Redtones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-12 13:33:11,,2024-06-12 13:33:43,9184bc3978,,
1vs246nkiughx41g1vs246cwm5q9pwqo,Donnie Dynamite,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2024-06-11 21:17:54,,2024-06-11 21:18:37,0fc5f7dc53,,
v9rayij3nyepnm1juta4029v9rayicev,Nasty Jack,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-06-11 12:34:06,,2024-06-11 12:35:02,794cd2faef,,
69q6o38gwkqmqyjuada69q6o1vqwyifp,The Penniless One,No,No,No,No,No,Yes,Yes,completed,2024-06-08 19:51:30,,2024-06-08 19:53:14,026e3097b0,,
sy5wrhxqgo0jkv130z6sy5wria14ox5l,Sæfari,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-08 15:35:36,,2024-06-08 15:36:30,280ec1b67f,,
7zeq9hvw22xyn6eec3i7zeq9nv2ji7us,Sæfari,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2024-06-06 23:16:08,,2024-06-06 23:17:12,280ec1b67f,,
tvf7telk3ponfaxagultvf76lsddq7l6,Grace Marr,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-06 19:07:29,,2024-06-06 19:07:51,36e60f830d,,
8a3g3a7u48gf65c7fs15v8a3g3a79nkm,James Bailey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-05 16:29:34,,2024-06-05 16:31:49,5b19c5a4b3,,
28c0igg1g2zo4m96s7yw7lc28c0igga7,Tod Lippy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-05 16:23:59,,2024-06-05 16:24:25,1e5f634074,,
brjz9djirc4rrcgbrjz9djsx4ktk75xg,OCZ,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-06-05 14:15:12,,2024-06-05 14:16:39,4761306f69,,
k91hyxnihof0nokr4olp27k91hyxqiha,Jaïr Faria,Yes,No,Yes,Yes,Yes,Yes,No,completed,2024-06-05 12:47:11,,2024-06-05 12:48:21,db7b48f894,,
1hy00e7gdx3pvgqr1hy00guq4x47rgtu,Ridg Downs,No,No,No,No,Yes,Yes,Yes,completed,2024-06-05 02:27:26,,2024-06-05 02:28:08,4525ba8bfd,,
f28aovw3zbo2xg7vqrf28aoky8x7vj0t,DZE LIKE RZA,Yes,Yes,No,Yes,Yes,Yes,No,completed,2024-06-04 15:43:38,,2024-06-04 15:45:14,307bfc4f5a,,
gmkaew834xgdqlk5gmkaew852o9gtgjz,Ian Mellencamp,No,No,Yes,No,Yes,Yes,Yes,completed,2024-06-04 01:24:45,,2024-06-04 01:25:28,5acf6f3f4d,,
v9ywsuhkzlv0wnv9ywsq582nn44w35t4,Steven Christopher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-03 21:30:53,,2024-06-03 21:32:21,a9a3da8375,,
vgcnkpnl1lmrad77mevavgcnzbd00mvg,Kdn.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-03 00:18:33,,2024-06-03 00:19:09,d44bea9fca,,
edleavarz8stg4kedleavaye6p21cqqb,Indira Ellis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-02 23:21:03,,2024-06-02 23:21:29,85fc3be30c,,
fgubfjapfhn7npynvfgubhx38clpqci8,X Revolution,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-06-01 12:03:12,,2024-06-01 12:03:57,e8f56595ee,,
g5ty49ak0tgzjlgoowc4go45nq6gqfvo,Prinz Leo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-31 18:18:01,,2024-05-31 18:18:57,fdc04f774e,,
usrzdfzg31dr6yu82f4fka178mxzz882,Coffee & Cream,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-30 23:15:17,,2024-05-30 23:15:50,916cde8d94,,
i8w3twd52kib9p5ex8i8w3t48jubdpm6,The Venerable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-30 20:03:18,,2024-05-30 20:04:40,48e85bfc69,,
4x5vc6yvrn1tjiy184x5vcv65qbr3cek,The Venerable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-30 20:01:38,,2024-05-30 20:02:26,48e85bfc69,,
a4u0m8cqt4c7qwtioza4u0psc8t1olbp,Caleb Darger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-30 17:33:48,,2024-05-30 17:34:37,5704bbfb90,,
xm8gkq88ls04fncuwovxm80z3lcijpvd,Whitney Fenimore,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-30 12:40:41,,2024-05-30 12:41:12,9253dcc180,,
ie2qie6spr4d0vtyie2qxp6tgk10sx2r,Abbi Press,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-30 03:10:24,,2024-05-30 03:10:57,254035554f,,
guqpz3vtdep4lwank3xguqpz3vbsvltb,Patient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-29 16:43:10,,2024-05-29 16:43:44,ce96c8bc56,,
0b64550gn67rq6rncvw0b64550gt9rg4,comets near me,Yes,Yes,Yes,Yes,Yes,No,No,completed,2024-05-29 15:53:33,,2024-05-29 15:53:58,df8ef343f1,,
pox3k1nul3mkfh7pox3kgz5w711di1ld,stiLLbe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-29 08:20:39,,2024-05-29 08:21:40,0b86ce8bf7,,
h3b990twl50qmh3b9bmv0icg2gqt0smu,Neska Rose,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-29 06:35:45,,2024-05-29 06:36:52,36f9b1bf99,,
c69ql2jluexaebwc0ealc69ql2o7wkfl,Blade Trip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-28 22:11:01,,2024-05-28 22:12:05,4ce509b20d,,
gz3556zude0v5fwxgz3556tkyxbdrluy,Sis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-28 21:36:42,,2024-05-28 21:37:05,e0701bcf5d,,
ku8pws4p5bt59soh3bku8pwusi82u1zo,Barrett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-28 21:34:16,,2024-05-28 21:34:44,d02ee8aa0c,,
kdoqf5u25hilxhkdoqf4m9kpubsl5z4o,ROJS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-28 20:10:33,,2024-05-28 20:10:55,39dfc8025b,,
u45p5natiwk98geu45p568q28mxuuioy,Solarrio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-28 12:39:24,,2024-05-28 12:39:55,2d523aca52,,
ofdyse5j6hyrznec0ga24m4gofdyse5j,Armadillo King,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-27 12:08:11,,2024-05-27 12:09:04,0dff633181,,
671f2zphcl10g671ldnctr8ihgjks7hg,The Anomaly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-27 10:37:13,,2024-05-27 10:37:57,3a4f6bd79f,,
8ttr7d2u4l3fgwr8tt6sakqzg937m7qc,brx,Yes,No,No,Yes,Yes,Yes,Yes,completed,2024-05-26 02:25:47,,2024-05-26 02:26:40,95a0b132e3,,
e3rgkwdneoskqme3rpcy0csl9youd8ls,Hollow Stare,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-25 12:11:30,,2024-05-25 12:11:56,2bda68be6a,,
paxqcgva9u5vcvkhoopaxqcrrwg4nra0,LennyTunes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-25 08:12:04,,2024-05-25 08:14:17,141130627f,,
d0xopm3f2lx2dg270ades7cvwv67ckvj,Kuda-Kwashé,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-24 00:55:07,,2024-05-24 00:55:42,305f97ce72,,
y7wwszav02r9e90dwy7wwc7yzmyfe3kg,Iris Blue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-23 15:35:31,,2024-05-23 15:35:49,293c59cb19,,
mrd6h7ls9fc4649sbqmrd6hoamjl5hde,Iris Blue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-23 15:34:47,,2024-05-23 15:35:25,293c59cb19,,
vnkjmfm1665bmkvnkazf5acbcf1j0mo7,yung links,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-23 15:23:48,,2024-05-23 15:24:19,00b02e97cb,,
z4omy388rjp65242cz4omy3uecow9t0u,Otto & the Shadow Hunters,Yes,Yes,Yes,Yes,Yes,No,No,completed,2024-05-23 11:24:47,,2024-05-23 11:25:19,9f869dbc05,,
i7f1weomrrvrsi7f1wchopxnk2inriiu,krissy,No,No,Yes,Yes,Yes,Yes,Yes,completed,2024-05-22 23:17:20,,2024-05-22 23:17:53,bd343e38ad,,
lcenky1ez6ah4fnhynlcenky1eowvhjv,Lucas Elliott,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-22 18:43:22,,2024-05-22 18:43:52,a6e35bb248,,
b79ulwe3f6q9yvub79ulwh6wrkn439j0,J. Kosmos,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-22 16:56:01,,2024-05-22 16:56:46,0c1403a4bd,,
08vxnxq9n9h344s9308vxnf9kuft7x59,Lilian Hak,No,No,Yes,No,Yes,Yes,Yes,completed,2024-05-21 08:34:12,,2024-05-21 08:35:19,5ee2fd1484,,
blapabqm3we6h5y3blc5uf1giykc108d,Th&o.,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-20 12:07:33,,2024-05-20 12:09:05,2bf09ef923,,
7jnfbo8r4f2honq7jnf2uc0670yc59he,Rok Ali and The Addiction,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-17 19:52:31,,2024-05-17 19:53:41,f6a6230489,,
5v99akpkdkrjz8e5v99n878ief131n1n,Alex Aureo,Yes,Yes,No,No,Yes,Yes,Yes,completed,2024-05-17 12:57:43,,2024-05-17 13:08:58,aa0f634caa,,
x4thy78txl4wcona18hnx4thyo8had5f,Kuda-Kwashé,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-17 12:48:31,,2024-05-17 12:49:17,dad099d4c5,,
4u2w0b9mdm25h74hyyxv4u2w0bu7n459,SlickBoy Nae,Yes,Yes,No,Yes,Yes,No,No,completed,2024-05-16 23:50:46,,2024-05-16 23:51:56,347515542a,,
b3bh4z3p5nvoyq75b3bh9vtqb88xe8tp,RKAY,No,No,Yes,No,Yes,Yes,Yes,completed,2024-05-16 21:29:31,,2024-05-16 21:30:07,af21eddee6,,
qnnv3vw50in923moqnnvzeco6kveewgi,Mathilde SPZ,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-16 09:22:28,,2024-05-16 09:23:08,fbb7a47837,,
71svcyokafs81qfo71svcyeoc9jcqjlq,Blake Rave,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-16 04:36:55,,2024-05-16 04:37:19,3dca411a57,,
1konob8n1fdujpdu711konob8zg3blux,Vincent Van Great,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-16 03:14:17,,2024-05-16 03:17:34,2cf1483a40,,
eegvcy19af1w79gglbkbm4qeegvcyi8c,HOGTRUCKER,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-15 14:16:25,,2024-05-15 14:16:40,074823a2d4,,
upygomop50jfaz4n23vupygotpevvxi3,HOGTRUCKER,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-15 14:14:11,,2024-05-15 14:14:33,074823a2d4,,
2pqxqmftudlsm853u70tk7h2pqxqm6hu,HOGTRUCKER,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-15 14:13:20,,2024-05-15 14:14:03,074823a2d4,,
05qsem84vpvxzhp05qse2sfxm7lvgbbc,The Joy of Elephant,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-15 12:18:02,,2024-05-15 12:19:00,67a6869cbf,,
dwh4k8qdj0rxbrvujauddwh4k8ut7nmv,vinny olmstead,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-14 19:46:49,,2024-05-14 19:47:19,1676e87e26,,
b32up4bgk3g9m31eo4b32up52dibf84i,Celeste Marie Wilson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-14 17:09:22,,2024-05-14 17:10:05,b0d3895d12,,
n6mrnce2oteo2vlc34ln6mrn11l18rpn,Letisha Gordon,No,No,No,No,Yes,No,Yes,completed,2024-05-14 15:54:03,,2024-05-15 11:28:47,c1144a90f4,,
momg49sirhsx7iqobg1uyymomg49svfb,Letisha Gordon,No,No,No,No,Yes,No,Yes,completed,2024-05-14 10:59:02,,2024-05-14 11:00:55,c1144a90f4,,
y7vwrko5h41g4jdv62y7vwrkovrqankd,jacuzzi jefferson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-14 01:47:01,,2024-05-14 01:47:29,0df60a40f5,,
68ii34l7irlyrepfy68iii0wjcc1uija,Vincent Van Great,Yes,Yes,Yes,Yes,Yes,No,No,completed,2024-05-13 20:35:02,,2024-05-13 20:35:54,2cf1483a40,,
iwjg4eeic3ne94niiwjg4cs3bjv9tra5,Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-13 19:44:39,,2024-05-13 19:45:03,943f8c0a12,,
736mpsw8p2rwe0enh3uxew736mps9ide,Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-13 19:43:57,,2024-05-13 19:44:32,943f8c0a12,,
eie8md04dzrj6h4vkhxseie8mdnbqxtg,Ari Raine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-13 19:07:10,,2024-05-13 19:07:40,af2a4324ac,,
ytdcvz1v51800iijecysn5ytdcvgyvmu,Galaxy Shores,Yes,Yes,,Yes,Yes,Yes,Yes,completed,2024-05-13 17:37:18,,2024-05-13 17:37:37,73d13261d5,,
p61rcqc0xdvip4wp6177dv658j7ynbn3,Galaxy Shores,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-13 17:06:39,,2024-05-13 17:13:00,73d13261d5,,
7pd3t8wzsfs041r7pd3tc6g8ph8v3ilw,Neil Valentine,No,No,No,No,No,No,No,completed,2024-05-13 16:09:59,,2024-05-13 16:10:43,f76e2c9a46,,
yueyofdh67peievtyueyofxsc3kb9hn6,The Brothers Union,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-11 13:53:33,,2024-05-11 13:54:11,dbac0296c1,,
5z199ddrl18ftsxb8hrb5z199die9x3n,Marques Houston,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-11 02:56:51,,2024-05-11 02:58:11,f939dfb7eb,,
agnni7eyorer9agnn22lm8sckwckmdhw,Juicy Lemon Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-10 08:59:28,,2024-05-10 09:00:15,066b655d77,,
6kbbnt4wr1hhjaglnmm6kbbymjf1es8g,Tivertons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-09 16:32:55,,2024-05-09 16:37:29,6ec53483e5,,
rrmyb5rfbcim6acrrmycowdq8rlzoald,Tom Neilson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-09 12:38:43,,2024-05-09 12:39:17,8f06fe2eed,,
ubciyo4wpjyx9jq72o1u6lubciyol5vx,Tobasco,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-09 12:35:32,,2024-05-09 12:36:48,fef9eca543,,
3bof8p6yhpbki4cg3bof8vc1avqzsaet,Syren Dia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-09 10:20:23,,2024-05-09 10:21:04,0bd39c46b1,,
rlhrbz5221sobh7mu772rlhryapbq6bb,waltzerr,Yes,Yes,No,No,Yes,Yes,Yes,completed,2024-05-09 04:24:12,,2024-05-09 04:24:46,ca5f35d930,,
5mhtbz29ju1n2v545mhtbnb5gq3tn3rc,Jon Le Vert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-08 18:50:04,,2024-05-08 18:50:33,7391ee8e2a,,
h6f5nce3rgtfdtqumh6f5ncktix34pt2,Adam Haddour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-08 13:37:52,,2024-05-08 13:38:31,72a1e808db,,
nm3i7gp7wgcnmi3zgzhvazzm2xmfhti3,LAMIA,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-08 13:33:36,,2024-05-08 13:34:21,f781a6cd05,,
2lg5xdtbre0vl2lg5xircosn9bwo3nul,WILLISTHEHUMAN,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-07 22:13:30,,2024-05-07 22:14:21,1fb6891562,,
qqop8dz8gq3zo07qqopuxq9sxqqij8k3,Original Pairs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-07 21:25:43,,2024-05-07 21:26:34,bc2501f90a,,
ywbll1ji8mek6fnz3zywbllcbcft2of7,Kara Ali,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-07 14:57:23,,2024-05-07 14:57:43,7fde6d448a,,
a2v0vps71dsxg7fe91l1a2v0vp5um76j,Kara Ali,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-07 14:56:49,,2024-05-07 14:57:17,7fde6d448a,,
gafefoj691ts4bjigbm1fpgafefoffdq,Marr Not Meeger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-07 13:07:51,,2024-05-07 13:08:21,de85ee1b3b,,
5827dtv787zzxel3k3gzj5827xe7sxex,Lucky Number Nick,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2024-05-07 09:19:47,,2024-05-07 09:21:00,f21a8d6225,,
fhjjq24b6vn4zr3p74xvfhjjq9thou0r,Antonia K. Moore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-07 08:55:58,,2024-05-07 08:56:46,841ffe7c5d,,
9zztcds1033pewo1v29zztcnvynjd48u,Detox From Grey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-06 20:43:01,,2024-05-06 20:44:03,87314d0d79,,
0jjhk2t4ridixg7sr2e50jjhkfzj8a05,IKNOWNOA,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-06 09:54:08,,2024-05-06 09:54:59,438da25d57,,
6un9yu8gc2haojiy6un9yx5g6wju11gn,Stefan Schulzki,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-06 00:32:27,,2024-05-06 00:33:26,bbd2f45fde,,
vwfh2yi7mrn5thzbyvxfvwfh2r0na8nx,Lydia the Bard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-06 00:30:21,,2024-05-06 00:31:02,97ad3dc9c4,,
0901pppo02jy45pg09015zn8kffv33j9,Hannah Stone,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-05 18:30:10,,2024-05-05 18:30:43,53f1a8e827,,
eqvmtc8l9m8nu7l5eqvmtdhfamg3q6fa,The Green Flamingos,No,No,No,Yes,Yes,Yes,Yes,completed,2024-05-05 12:56:44,,2024-05-05 12:58:10,a9361785bf,,
tpxags5fpfwkuq4n0tpxaqmmf0nq2vbt,Nikitaa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-05 01:47:37,,2024-05-05 01:48:05,0cc6d1c9d3,,
c4hz7rs5pclika8s1swc4hz7u0d98jmo,Soul Kaktus,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2024-05-04 17:15:26,,2024-05-04 17:16:03,c6dc362254,,
n03w5j3r03o16rel9n03w51wawts89qp,Fen Doi,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-04 14:11:51,,2024-05-04 14:12:35,4e9e384a65,,
rc8fp66kyk4rl7cuur85c0rc8fp668ve,Good Spells,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-04 08:51:35,,2024-05-04 08:52:06,cf26965b0a,,
lt8ydyh73j2pxghxemcfqlt8ydy2h3sy,AJ Peoples,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-03 22:36:15,,2024-05-03 22:36:53,47559996fe,,
rv6aky3emkjfjcz7jvfgrv6aky3290wr,Isabel Mirri,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-03 21:05:39,,2024-05-03 21:17:52,3288e72b37,,
o07un7u3lhdl4k7yzblpo07un7uih04n,AMillionForever,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-03 13:28:06,,2024-05-03 13:29:02,0ac6004253,,
olh068g2a5h2dnuucl6olh0681sgxbtk,Laura Musgrave,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-05-03 12:44:51,,2024-05-03 12:45:16,6be3f6e6a8,,
6fkhi4zpfjoovf6fkhi40tsnxoymxfvq,Harrison Cramond,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-03 02:38:06,,2024-05-03 02:38:53,bbd3b5b988,,
de58u509o2h0zkkclgdde58u5c6oq55g,InBetween Honey,Yes,Yes,No,No,Yes,Yes,Yes,completed,2024-05-02 18:25:33,,2024-05-02 18:26:26,5194a38267,,
xdx1y1j8pcz3m1xdx1rf7oki267rskdr,Jason Nott,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-01 20:56:59,,2024-05-01 20:57:55,7c2491a821,,
6upp7g8fu3kntwb2n41hfq6upp3sxrj7,Niraj Pandya,No,No,Yes,Yes,No,Yes,Yes,completed,2024-05-01 15:58:21,,2024-05-01 15:59:12,eb24b64830,,
qj445gfwww9bga6spt3qj44l5usxmc19,Jay Hofman,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2024-05-01 12:03:24,,2024-05-01 12:04:23,ce6abee676,,
kh2rd700potye3okh2rrkenv0f1nyx2r,OWN DEVICES,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2024-05-01 08:53:31,,2024-05-01 08:54:19,b036e40526,,
70orsj2tt499564yigh170orsj2b95wp,one far sun,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-30 22:15:50,,2024-04-30 22:16:35,212af6e97c,,
bxpajiduhepmbxpaj5pi1cg5kwrmdq5p,Lenox Hills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-30 14:15:48,,2024-04-30 14:16:26,b59d567515,,
eho4i5eh5x8wedccjeho4ip6oglq9kry,ahaComa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-30 13:00:48,,2024-04-30 13:01:16,58ed8c6197,,
0r8ura9sh4l2b7l0r8ucxnqwaqhxmdaq,Leigh Thomas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-29 22:58:48,,2024-04-29 22:59:38,ea0a3f2dae,,
k3xxq2ozwqsytk3xvcji9pcysbp89i4o,ahaComa,Yes,Yes,No,Yes,Yes,No,No,completed,2024-04-29 13:58:44,,2024-04-29 13:59:35,58ed8c6197,,
cbbc0or5ilxu3d85kscbbc0tm95wygda,Stefanie Tom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-29 13:15:22,,2024-04-29 13:15:51,b784f972f4,,
wl91lxpe55j3itfdgzufwl91lx1yo2yg,Joy Lewis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-29 04:51:19,,2024-04-29 04:52:36,2fd24ef821,,
yru7cw6bvl3xvyxtud0jyru7cwz2u9lw,Dide,Yes,No,No,Yes,Yes,Yes,Yes,completed,2024-04-29 01:36:58,,2024-04-29 01:37:39,5822d7cae6,,
imc48hdfw6nxj4ohtimc420uwbj5nney,Bobby basil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-28 14:14:18,,2024-04-28 14:14:47,c55abc62c7,,
1s2qsfshkw2d8mezc8611s2qsftmw6j9,Marysa Ada,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-27 16:31:53,,2024-04-27 16:32:58,0db9f9f42c,,
pht2hfzsv14jpht2yzo4ktex83vty5nw,XxDozen RosesxX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2024-04-27 13:49:55,,2024-04-27 13:50:21,aa0a4e7190,,
qxo1e5vuvt60rnaqzo1hqxo1e5rmtuol,Muri,No,No,No,No,Yes,Yes,Yes,completed,2024-04-27 08:32:25,,2024-04-27 08:33:21,b2413bb9b8,,
3g5tcana2oyx3g5t5kewpiubemp776t0,smoothwaffle,Yes,Yes,Yes,Yes,Yes,No,No,completed,2024-04-27 02:41:13,,2024-04-27 02:42:24,ce8a24aac9,,
